"Agravo","Ano","Confirmado_casos","Obitos_Agr","Ign_Branco_casos"
"Chikungunya",2020,1001,0,9
"Chikungunya",2021,102,0,2
"Chikungunya",2022,6,0,1
"Chikungunya",2023,52,1,11
"Chikungunya",2024,1460,2,48
"Chikungunya",2025,98,2,4
"Dengue",2020,7,0,0
"Dengue",2021,33,0,0
"Dengue",2022,221,0,0
"Dengue",2023,3565,2,4
"Dengue",2024,19774,5,2
"Dengue",2025,253,1,1
"Zika",2020,0,0,0
"Zika",2021,2,0,0
"Zika",2022,1,0,1
"Zika",2023,0,0,0
"Zika",2024,0,0,0
"Zika",2025,0,0,0
